,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month),Status
274,N/A,N/A,mtb,N/A,N/A,N/A,N/A,N/A,115.75,N/A,N/A,N/A,26.62,37.14,1.04,1.23,39.91,128289999.99999999,N/A,N/A,N/A,N/A,N/A,5170000000.0,5970000000.0,1.23,N/A,10.04,22.50,13.20,22940000000.0,178.8,5640000000.0,115.75,115.75,1260000000.0,1.23,0.43,85.02,N/A,2.21,2.00,2370000.0,N/A
275,N/A,N/A,mu,N/A,N/A,N/A,N/A,N/A,18.08,N/A,N/A,N/A,13.59,15.45,4.12,1.36,19.84,1120000000.0,N/A,N/A,N/A,N/A,N/A,22060000000.0,6550000000.0,1.36,N/A,2.65,63.50,12.20,7030000000.0,6.29,7210000000.0,2.91,35.73,8260000000.0,1.36,0.19,84.31,N/A,1.38,2.34,28140000.0,N/A
276,N/A,N/A,mur,N/A,N/A,N/A,N/A,N/A,83.60,N/A,N/A,N/A,50.38,0.34,0.04,3.33,13.55,153600000.0,N/A,N/A,N/A,N/A,N/A,2080000000.0,2250000000.0,3.33,N/A,6.83,219640000.0,43.30,219640000.0,1.43,3770000000.0,1.20,28.28,913910000.0,3.33,5.38,83.03,N/A,4.25,23.05,17200000.0,N/A
277,N/A,N/A,myl,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4550000000.0,4550000000.0,4550000000.0,23.11,4550000000.0,4550000000.0,N/A,N/A,N/A,N/A,N/A,4550000000.0,4550000000.0,23.11,N/A,N/A,N/A,4550000000.0,N/A,N/A,N/A,N/A,N/A,N/A,23.11,4550000000.0,4550000000.0,N/A,4550000000.0,4550000000.0,4550000000.0,N/A
278,N/A,N/A,nbl,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2820000000.0,2820000000.0,2820000000.0,425.00,2820000000.0,0.38,N/A,N/A,N/A,N/A,N/A,2820000000.0,2820000000.0,425.00,N/A,N/A,N/A,2820000000.0,N/A,N/A,N/A,N/A,N/A,N/A,425.00,0.38,0.38,N/A,0.38,0.38,0.38,N/A
279,N/A,N/A,nbr,N/A,N/A,N/A,N/A,N/A,183.50,N/A,N/A,N/A,39.92,8.84,2.03,3.79,341.00,7290000.0,N/A,N/A,N/A,N/A,N/A,2400000000.0,1110000000.0,3.79,N/A,141.02,513820000.00000006,42.20,513820000.00000006,70.44,3300000000.0,2.39,172.12,501640000.0,3.79,12.58,66.78,N/A,2.28,17.72,1400000.0,N/A
280,N/A,N/A,ndaq,N/A,N/A,N/A,N/A,N/A,66.68,N/A,N/A,N/A,17.42,24.25,5.70,0.78,31.81,164040000.0,N/A,N/A,N/A,N/A,N/A,5230000000.0,2540000000.0,0.78,N/A,5.46,76.00,29.00,3.68,3.68,4010000000.0,1.16,36.65,1160000000.0,0.78,18.69,77.96,N/A,2.89,2.30,2410000.0,N/A
281,N/A,N/A,ne,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,547720000.0,547720000.0,547720000.0,1.1600,547720000.0,0.00,N/A,N/A,N/A,N/A,N/A,547720000.0,547720000.0,1.1600,N/A,N/A,N/A,547720000.0,N/A,N/A,N/A,N/A,N/A,N/A,1.1600,0.00,0.00,N/A,0.00,0.00,0.00,N/A
282,N/A,N/A,nee,N/A,N/A,N/A,N/A,N/A,114.37,N/A,N/A,N/A,21.44,29.05,2.75,0.16,9.29,1960000000.0,N/A,N/A,N/A,N/A,N/A,18190000000.0,11290000000.0,0.16,N/A,1.98,39.80,14.10,1960000000.0,48300000000.0,48300000000.0,0.57,19.03,8539999999.999999,0.16,0.16,80.59,N/A,3.2,1.14,22690000.0,N/A
283,N/A,N/A,nem,N/A,N/A,N/A,N/A,N/A,28.73,N/A,N/A,N/A,23.19,25.73,4.38,0.15,13.73,803360000.0,N/A,N/A,N/A,N/A,N/A,11080000000.0,4380000000.0,0.15,N/A,3.18,61.50,16.80,5140000000.0,6.4,6790000000.0,2.83,28.18,4400000000.0,0.15,0.28,84.11,N/A,1.03,1.11,7960000.0,N/A
